str_res_item_name_3000003,音符雷达
str_res_item_name_3097084,座驾模型
str_res_item_name_3034131,作揖
str_res_item_detail_3018191,作为一个技术达人的闪亮标志
str_res_item_detail_3062103,作为师门创始人，消耗1张师门更名卡可随时为自己的师门更名
str_res_item_detail_3018192,作为高手中的高手的闪亮标志
str_res_item_name_3034149,左右摇头摆
str_res_item_name_3034171,左右逢源
str_res_item_name_3034369,左帅帅
str_res_item_name_3084199,左岸香颂礼盒
str_res_item_name_3034301,左岸公社
str_res_item_detail_3052025,尊贵的紫薇花庄园，体现您的地位与财富。具有花朵生长加快10%，花园经验增加5%效果。使用后消耗一个道具，立即替换当前花园背景。背景有效期永久。
str_res_item_detail_3052010,尊贵的紫薇花庄园，体现您的地位与财富。具有花朵生长加快10%，花园经验增加5%效果。使用后消耗一个道具，立即替换当前花园背景。背景有效期7天。
str_res_item_detail_3052009,尊贵的紫薇花庄园，体现您的地位与财富。具有花朵生长加快10%，花园经验增加5%效果。使用后消耗一个道具，立即替换当前花园背景。背景有效期1天。
str_res_item_detail_3084244,尊贵的皇冠专属礼盒，开启后可获得珍贵的礼物。无需钥匙，可直接开启
str_res_item_detail_3084245,尊贵的皇冠专属礼盒，开启后可获得珍贵的礼物。无需钥匙，可直接开启
str_res_item_detail_3084246,尊贵的皇冠专属礼盒，开启后可获得珍贵的礼物。无需钥匙，可直接开启
str_res_item_detail_3084247,尊贵的皇冠专属礼盒，开启后可获得珍贵的礼物。无需钥匙，可直接开启
str_res_item_detail_3084248,尊贵的皇冠专属礼盒，开启后可获得珍贵的礼物。无需钥匙，可直接开启
str_res_item_detail_3050187,尊贵的皇冠专属包裹，开启后可获得珍贵的礼物。
str_res_item_detail_3050188,尊贵的皇冠专属包裹，开启后可获得珍贵的礼物。
str_res_item_detail_3050189,尊贵的皇冠专属包裹，开启后可获得珍贵的礼物。
str_res_item_detail_3050190,尊贵的皇冠专属包裹，开启后可获得珍贵的礼物。
str_res_item_detail_3050191,尊贵的皇冠专属包裹，开启后可获得珍贵的礼物。
str_res_item_detail_3052019,尊贵版的月光晚餐，具有花朵生长加快10%效果。使用后消耗一个道具，立即替换当前花园背景。背景有效期7天。
str_res_item_detail_3052020,尊贵版的阳光花房，具有花园经验增加10%效果。使用后消耗一个道具，立即替换当前花园背景。背景有效期7天。
str_res_item_name_3084206,醉挽清风礼盒
str_res_item_detail_3097044,醉人芳香的潜力花蕊，可以用来打造潜力之果。可通过宠物秘境中的通关奖励获得
str_res_item_name_3067011,醉爱红唇对戒盒
str_res_item_name_3034190,最亲爱人
str_res_item_detail_3084157,最美的旋律需要用心去聆听，去感受。打开礼盒你将有机会获得永久星辰韵律坐骑。该礼盒不需要钥匙，可以直接打开
str_res_item_detail_3040024,"最浪漫的烟花，最华丽的告白，只想让你知道：喜欢你，没道理！
使用后，播放“喜欢你”文字烟花特效"
str_res_item_name_3018200,最佳情侣称号卡
str_res_item_detail_3018190,钻石许愿手，我的愿望无法满足！！！
str_res_item_name_3018190,钻石许愿手
str_res_item_name_3084168,钻石箱
str_res_item_name_3115024,钻石晶
str_res_item_name_3115058,祖国万岁
str_res_item_name_3084259,组队任务礼盒
str_res_item_name_3034232,诅咒诅咒你
str_res_item_name_3095001,诅咒技能书
str_res_item_name_3034365,足球宝贝
str_res_item_name_3084113,走失的麋鹿
str_res_item_name_3034248,走你style
str_res_item_detail_3018219,粽子馅料，新鲜的肉
str_res_item_detail_3018218,粽子馅料，微甜的小红枣
str_res_item_detail_3018220,粽子馅料，甜甜的红豆沙
str_res_item_detail_3089107,综合动作包一，其中包含装装可爱，上帝救我，淘气平底锅，愤怒的甩葱，唉——呼，叫你抽风，喵喵蹭蹭，八卦八卦的房间动作，使用以上任一动作将消耗一个动作包
str_res_item_detail_3064107,综合动作包一，其中包含装装可爱，上帝救我，淘气平底锅，愤怒的甩葱，唉——呼，叫你抽风，喵喵蹭蹭，八卦八卦的房间动作
str_res_item_name_3064107,综合动作包一
str_res_item_detail_3089115,综合动作包四，其中包含给我吐出来、万岁维纳斯、软塌塌、死党连击、轰炸烟花、爆竹声声、橡皮人房间动作，使用以上任一动作将消耗一个动作包
str_res_item_detail_3064115,综合动作包四，其中包含给我吐出来、万岁维纳斯、软塌塌、死党连击、轰炸烟花、爆竹声声、橡皮人房间动作
str_res_item_name_3064115,综合动作包四
str_res_item_detail_3089102,综合动作包三，其中包含依依不舍，敢给点力么，生日快乐，探路者，仰卧起坐，伸懒腰，芭蕾旋转，再创辉煌，作揖的房间动作，使用以上任一动作将消耗一个动作包
str_res_item_detail_3064102,综合动作包三，其中包含依依不舍，敢给点力么，生日快乐，探路者，仰卧起坐，伸懒腰，芭蕾旋转，再创辉煌，作揖的房间动作
str_res_item_name_3064102,综合动作包三
str_res_item_detail_3089110,综合动作包二，其中包含飞吻，沮丧，点头，鼓掌，拥抱，握手，俯卧撑，抱起，献花，吻手的房间动作，使用以上任一动作将消耗一个动作包
str_res_item_detail_3064110,综合动作包二，其中包含飞吻，沮丧，点头，鼓掌，拥抱，握手，俯卧撑，抱起，献花，吻手的房间动作
str_res_item_name_3064110,综合动作包二
str_res_item_name_3088102,自然之美信纸
str_res_item_detail_3050017,紫钻专用包裹，特权独享商品
str_res_item_name_3050017,紫钻专用包裹
str_res_item_name_3040505,紫钻小兔珍贵宠物蛋（永久）
str_res_item_name_3040504,紫钻小兔珍贵宠物蛋（１天）
str_res_item_name_3040503,紫钻小兔精品宠物蛋（永久）
str_res_item_name_3040502,紫钻小兔精品宠物蛋（１天）
str_res_item_name_3040507,紫钻小兔极品宠物蛋（永久）
str_res_item_name_3040506,紫钻小兔极品宠物蛋（１天）
str_res_item_detail_3040505,紫钻小兔宠物蛋。可砸出珍贵等级的紫钻小兔，有效期永久
str_res_item_detail_3040504,紫钻小兔宠物蛋。可砸出珍贵等级的紫钻小兔，有效期1天
str_res_item_detail_3040503,紫钻小兔宠物蛋。可砸出稀少等级的紫钻小兔，有效期永久
str_res_item_detail_3040502,紫钻小兔宠物蛋。可砸出稀少等级的紫钻小兔，有效期1天
str_res_item_detail_3040501,紫钻小兔宠物蛋。可砸出随机稀有等级的紫钻小兔，有效期永久
str_res_item_detail_3040500,紫钻小兔宠物蛋。可砸出随机稀有等级的紫钻小兔，有效期1天
str_res_item_detail_3040507,紫钻小兔宠物蛋。可砸出极品等级的紫钻小兔，有效期永久
str_res_item_detail_3040506,紫钻小兔宠物蛋。可砸出极品等级的紫钻小兔，有效期1天
str_res_item_name_3040501,紫钻小兔宠物蛋（永久）
str_res_item_name_3040500,紫钻小兔宠物蛋（１天）
str_res_item_name_3007114,紫钻喇叭
str_res_item_name_3028110,紫钻兑换券
str_res_item_detail_3063290,紫玉兔宠物蛋。可砸出珍贵稀有等级的紫玉兔，有效期永久
str_res_item_detail_3063283,紫玉兔宠物蛋。可砸出珍贵稀有等级的紫玉兔，有效期1天
str_res_item_detail_3063276,紫玉兔宠物蛋。可砸出稀少稀有等级的紫玉兔，有效期永久
str_res_item_detail_3063269,紫玉兔宠物蛋。可砸出稀少稀有等级的紫玉兔，有效期1天
str_res_item_detail_3063262,紫玉兔宠物蛋。可砸出随机稀有等级的紫玉兔，有效期永久
str_res_item_detail_3063255,紫玉兔宠物蛋。可砸出随机稀有等级的紫玉兔，有效期1天
str_res_item_detail_3063304,紫玉兔宠物蛋。可砸出极品稀有等级的紫玉兔，有效期永久
str_res_item_detail_3063297,紫玉兔宠物蛋。可砸出极品稀有等级的紫玉兔，有效期1天
str_res_item_name_3063262,紫玉兔(永久)
str_res_item_name_3063255,紫玉兔(1天)
str_res_item_name_3097136,紫郢龙泉剑珍宝
str_res_item_name_3097138,紫郢龙泉剑碎片
str_res_item_name_3097137,紫郢龙泉剑晶体
str_res_item_name_3097142,紫烟仙狐珍宝
str_res_item_name_3097144,紫烟仙狐碎片
str_res_item_name_3097143,紫烟仙狐晶体
str_res_item_name_3097150,紫烟仙狐高级蛋壳
str_res_item_detail_3042525,紫烟仙狐宠物蛋。可砸出珍贵稀有等级的紫烟仙狐，有效期永久。可激活攻击方向天赋，天赋技能是“仙灵明灯”，在敌人头顶点亮明灯指引队友攻击的方向。可通过扭蛋系统获得
str_res_item_detail_3042524,紫烟仙狐宠物蛋。可砸出稀少稀有等级的紫烟仙狐，有效期永久。可激活攻击方向天赋，天赋技能是“仙灵明灯”，在敌人头顶点亮明灯指引队友攻击的方向。可通过扭蛋系统获得
str_res_item_detail_3042527,紫烟仙狐宠物蛋。可砸出极品稀有等级的紫烟仙狐，有效期永久。可激活攻击方向天赋，天赋技能是“仙灵明灯”，在敌人头顶点亮明灯指引队友攻击的方向。可通过扭蛋系统获得
str_res_item_detail_3042526,紫烟仙狐宠物蛋。可砸出极品稀有等级的紫烟仙狐，有效期1天。可激活攻击方向天赋，天赋技能是“仙灵明灯”，在敌人头顶点亮明灯指引队友攻击的方向。可通过扭蛋系统获得
str_res_item_name_3052025,紫薇庄园（永久）
str_res_item_name_3052010,紫薇庄园（7天）
